participant,age,type,coder1,coder2
14,10,int_sight,1,2
14,10,moving_toy,1,2
15,6,int_sound,1,1
15,6,int_sight,1,1
15,6,moving_toy,1,1
15,7,int_sound,1,1
15,7,int_sight,0,0
15,7,moving_toy,2,2
15,8,int_sound,1,1
15,8,int_sight,2,2
15,8,moving_toy,1,2
15,9,int_sound,1,1
15,9,int_sight,1,2
15,9,moving_toy,1,2
15,10,int_sound,1,1
15,10,int_sight,1,1
15,10,moving_toy,2,2
16,6,int_sound,1,1
16,6,int_sight,0,0
16,6,moving_toy,1,1
16,7,int_sound,1,1
16,7,int_sight,0,0
16,7,moving_toy,1,2
16,8,int_sound,1,1
16,8,int_sight,2,2
16,8,moving_toy,1,1
16,9,int_sound,1,1
16,9,int_sight,1,2
16,9,moving_toy,1,1
16,10,int_sound,2,1
16,10,int_sight,2,2
16,10,moving_toy,0,0
17,6,int_sound,0,1
17,6,int_sight,0,1
17,6,moving_toy,0,0
17,7,int_sound,1,1
17,7,int_sight,0,1
17,7,moving_toy,0,0
17,8,int_sound,0,1
17,8,int_sight,0,1
17,8,moving_toy,0,0
17,9,int_sound,1,2
17,9,int_sight,1,1
17,9,moving_toy,1,1
17,10,int_sound,1,2
17,10,int_sight,1,2
17,10,moving_toy,1,1
18,6,int_sound,1,1
18,6,int_sight,1,1
18,6,moving_toy,0,0
18,7,int_sound,2,1
18,7,int_sight,1,1
18,7,moving_toy,1,1
18,8,int_sound,1,1
18,8,int_sight,0,1
18,8,moving_toy,1,2
18,9,int_sound,1,1
18,9,int_sight,1,1
18,9,moving_toy,2,1
18,10,int_sound,1,1
18,10,int_sight,2,2
18,10,moving_toy,2,1
19,6,int_sound,0,1
19,6,int_sight,0,1
19,6,moving_toy,1,0
19,7,int_sound,1,2
19,7,int_sight,0,1
19,7,moving_toy,2,2
19,8,int_sound,1,1
19,8,int_sight,0,1
19,8,moving_toy,1,1
19,9,int_sound,1,1
19,9,int_sight,1,2
19,9,moving_toy,2,2
19,10,int_sound,1,1
19,10,int_sight,0,0
19,10,moving_toy,1,1
20,6,int_sound,1,1
20,6,int_sight,0,0
20,6,moving_toy,0,0
20,7,int_sound,1,1
20,7,int_sight,0,0
20,7,moving_toy,1,1
20,8,int_sound,1,1
20,8,int_sight,1,1
20,8,moving_toy,1,1
20,9,int_sound,2,2
20,9,int_sight,2,1
20,9,moving_toy,2,2
20,10,int_sound,1,1
20,10,int_sight,2,2
20,10,moving_toy,2,1
21,6,int_sound,1,1
21,6,int_sight,0,1
21,6,moving_toy,1,1
21,7,int_sound,2,1
21,7,int_sight,1,1
21,7,moving_toy,0,1
21,8,int_sound,0,1
21,8,int_sight,2,2
21,8,moving_toy,1,1
21,9,int_sound,2,1
21,9,int_sight,0,1
21,9,moving_toy,1,1
21,10,int_sound,2,2
21,10,int_sight,2,2
21,10,moving_toy,2,2
22,6,int_sound,2,2
22,6,int_sight,2,2
22,6,moving_toy,2,2
22,7,int_sound,1,1
22,7,int_sight,1,1
22,7,moving_toy,2,2
22,8,int_sound,1,1
22,8,int_sight,1,1
22,8,moving_toy,2,2
22,9,int_sound,1,2
22,9,int_sight,2,2
22,9,moving_toy,1,1
22,10,int_sound,1,1
22,10,int_sight,1,2
22,10,moving_toy,1,2
23,6,int_sound,0,1
23,6,int_sight,0,1
23,6,moving_toy,0,0
23,7,int_sound,1,1
23,7,int_sight,0,0
23,7,moving_toy,1,1
23,8,int_sound,1,1
23,8,int_sight,1,1
23,8,moving_toy,2,2
23,9,int_sound,1,1
